run_id	Step	mean_absolute_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	2129.779492431641
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	1976.96233581543
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	1909.1665146728515
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	1790.492107446289
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	1779.1989969970703
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	1737.2267032226562
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	1699.3445498291017
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	1711.6385314453123
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	1700.1326379882812
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	1681.6758286376953
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	1697.6245428466796
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	1706.4173380615237
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	1713.4190370361327
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	1674.229449145508
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	1686.2295653076173
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	1669.8402298828125
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	1656.713769970703
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	1676.4682528808594
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	1675.6293274169923
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	1637.4601700195312
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	1685.861219189453
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	1669.7455179199217
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	1636.6570622314453
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	1644.1843076416014
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	1649.0986073242188
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	1648.6423400634765
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	1657.6720803955075
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	1666.698479663086
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	1652.9275167724609
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	1653.2498574951173
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	1636.3714412109373
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	1648.4853681396482
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	1642.3082537109378
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	1626.9284171142579
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	1655.6766475097654
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	1661.8042999511715
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	1651.734777685547
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	1656.7086146728518
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	1658.042617700195
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	1656.375933618164
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	1626.2505915283205
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	1638.4497877441408
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	1635.6086356445314
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	1622.8566749023435
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	1637.2417226806642
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	1648.5954851318359
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	1663.1890172607423
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	1635.4431563720705
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	1616.7436663818357
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	1643.6785950195313
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	1622.2924464599607
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	1636.0337082031251
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	1616.3793477783202
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	1636.902115136719
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	1640.0353369873046
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	1619.687077392578
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	1622.9094360107424
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	1615.4797610839844
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	1647.548889477539
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	1638.6256516601563
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	1635.0411356689456
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	1626.8982196777345
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	1653.866517944336
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	1618.0558822753906
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	1628.8252793212891
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	1625.758884765625
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	1626.6484678466795
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	1623.5987744384765
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	1627.4027677734375