run_id	Step	normalized_mean_absolute_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	0.20026135330809974
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	0.18589208611334554
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	0.17951730274309838
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	0.16835844921920912
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	0.16729656765369724
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	0.16334994858699167
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	0.15978792193973684
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	0.1609439145693759
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	0.15986202519871007
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	0.15812654712155105
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	0.15962619114684343
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	0.16045297019854474
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	0.1611113339949349
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	0.15742637039450003
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	0.15855473110555876
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	0.15701365584229549
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	0.15577938598690205
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	0.15763688320459418
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	0.15755799975712198
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	0.1539689863676099
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	0.15852009583351698
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	0.15700475015702137
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	0.15389347082571184
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	0.15460125130621546
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	0.15506333872348085
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	0.15502043630122017
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	0.15586949510065892
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	0.15671823974265028
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	0.15542336782063573
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	0.1554536772444868
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	0.15386661412420663
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	0.15500567636480003
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	0.1544248475515691
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	0.1529786946040675
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	0.15568186624445374
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	0.15625804418910877
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	0.15531121557927097
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	0.155778901238632
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	0.1559043364081049
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	0.1557476195221593
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	0.15291495924102683
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	0.15406203928012605
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	0.15379488816591735
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	0.15259583214878641
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	0.153948445950227
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	0.15501603057186986
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	0.15638824797938336
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	0.15377932829074475
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	0.15202103115955207
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	0.1545536995787053
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	0.1525427782284872
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	0.15383485737688057
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	0.15198677459128543
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	0.15391651294186354
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	0.1542111271262158
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	0.15229779759215592
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	0.15260079323091133
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	0.1519021872199327
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	0.15491762007311133
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	0.15407857561449517
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	0.153741526626135
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	0.1529758551648081
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	0.15551166130177113
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	0.15214441770337478
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	0.15315705494323356
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	0.15286872447255523
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	0.15295237121266383
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	0.15266561113666915
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	0.15302329739289494