run_id	Step	root_mean_squared_error
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	0	2561.2038105625556
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	1	2408.8836849892423
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	2	2351.3662310293557
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	3	2259.0174550421334
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	4	2251.8890356230922
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	5	2219.20343824956
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	6	2183.583094685632
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	7	2197.5773430075506
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	8	2190.0686086008277
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	9	2172.2835026274743
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	10	2185.5263025948598
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	11	2195.637703272848
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	12	2202.304485118702
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	13	2167.031834975484
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	14	2178.87379646373
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	15	2164.126179301362
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	16	2153.0472986407767
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	17	2163.5249617271807
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	18	2165.0253667394945
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	19	2143.916631556585
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	20	2176.0978415741565
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	21	2167.128326744878
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	22	2140.464486807216
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	23	2146.97959495747
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	24	2150.202505073027
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	25	2146.149148405938
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	26	2155.802812669128
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	27	2160.3418732942396
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	28	2153.3038285245157
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	29	2156.674732284331
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	30	2142.2010576205475
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	31	2150.5916576530453
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	32	2142.033938288748
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	33	2131.5266498040423
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	34	2152.839986845405
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	35	2159.313790106832
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	36	2151.5741487724404
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	37	2155.214345491374
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	38	2157.146725239875
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	39	2153.941661147163
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	40	2134.861381579073
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	41	2140.623282343439
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	42	2142.0323043391
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	43	2133.2673707370145
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	44	2141.2111925541667
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	45	2149.6294750365164
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	46	2159.042886871408
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	47	2141.3875470124826
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	48	2125.5003174536696
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	49	2146.6978832523905
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	50	2132.4130051894645
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	51	2141.819455370906
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	52	2127.333169593485
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	53	2145.2851733478906
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	54	2145.5274952653835
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	55	2130.6551146952233
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	56	2134.2930413042427
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	57	2128.0355915977843
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	58	2150.3628411342256
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	59	2142.9687408768664
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	60	2142.377744972139
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	61	2135.5214736507414
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	62	2154.157690807283
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	63	2130.6740750814342
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	64	2138.2096066547447
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	65	2134.6153188403023
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	66	2134.9786412045623
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	67	2134.0043898557315
AutoML_5424361e-6a03-4289-8b7f-990aaed59567_HD_3	68	2136.6460712031185