run_id	Step	root_mean_squared_log_error
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	0	0.1390081851811745
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	1	0.07321927377124057
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	2	0.0788703011174606
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	3	0.07449423602554295
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	4	0.06792281647805236
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	5	0.06316307757586462
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	6	0.06074889368233999
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	7	0.060898531088001175
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	8	0.05613171360441974
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	9	0.06454156865477653
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	10	0.06144838905991262
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	11	0.0675647567052819
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	12	0.08220197753439704
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	13	0.08584014431567416
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	14	0.09288914126124723
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	15	0.09802218875478172
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	16	0.10597264550602148
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	17	0.12025064836824007
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	18	0.13356264530132847
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	19	0.15095097370442628
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	20	0.16478337653122732
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	21	0.1727095589384458
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	22	0.17844328212088537
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	23	0.18510404066369995
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	24	0.18769683342052085
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	25	0.19032604704053657
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	26	0.19314740058964142
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	27	0.1970379623618695
AutoML_d7a622d2-2038-48e4-b189-a664cee0c7b0_HD_10	28	0.20053091409283175